19:29:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:31:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:32:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:33:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:34:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:35:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:36:40: Latitude: 37.6928025, Longitude: -97.33805783333334
